"categoria","subcategoria","nombre","color","url","talla","precio","descripcion"
"zapatos","Bamba"," Topos","ROJO","https://latiendadevalentina.com/low-cost/bamba-topos-rojo/#/8-talla-36","8-talla-36","20,99 €","Deportivo tipo bamba de loneta con topos estampados. Cierre con cordones.  "
"zapatos","Bamba"," Topos","NEGRO","https://latiendadevalentina.com/low-cost/bamba-topos-negro/#/8-talla-36","8-talla-36","20,99 €","Deportivo tipo bamba de loneta con topos estampados. Cierre con cordones.  "
"zapatos","Deportivo"," Sensi Oro Rosa...","N/A","https://latiendadevalentina.com/low-cost/deportivo-sensi-oro-rosa-blanco/#/8-talla-36","8-talla-36","15,99 €","Deportivo blanco efecto piel con detalles en oro rosa. "
"zapatos","Deportivo"," Sensi Negro","BLANCO","https://latiendadevalentina.com/low-cost/deportivo-sensi-negro-blanco/#/8-talla-36","8-talla-36","15,99 €","Deportivo blanco efecto piel con detalles en negro. "
"zapatos","Deportivo"," Sensi Amarillo...","N/A","https://latiendadevalentina.com/low-cost/deportivo-sensi-amarillo-blanco/#/8-talla-36","8-talla-36","15,99 €","Deportivo blanco efecto piel con detalles en amarillo. "
"zapatos","Deportivo"," Bari...","N/A","https://latiendadevalentina.com/low-cost/deportivo-bari-gris-azul-nude-kaki/#/8-talla-36","8-talla-36","29,99 €","Deportivo multicolor que combina diferentes materiales y texturas. Cierre mediante cordones. "
"zapatos","Deportivo"," Bari...","N/A","https://latiendadevalentina.com/low-cost/deportivo-bari-nude-brds-nrja-rsa/#/8-talla-36","8-talla-36","29,99 €","Deportivo multicolor que combina diferentes materiales y texturas. Cierre mediante cordones. "
"zapatos","Deportivo"," Lena Oro-Rosa-Nude","N/A","https://latiendadevalentina.com/low-cost/deportivo-lena-oro-rosa-nude/#/8-talla-36","8-talla-36","18,99 €","Deportivo que combina diferentes materiales como polipiel y antelina en tonos blanco, oro rosa y nude. Cierre con cordones. "
"zapatos","Deportivo"," Lena Plata-Azul Bebé","N/A","https://latiendadevalentina.com/low-cost/deportivo-lena-plata-azul-bebe/#/8-talla-36","8-talla-36","18,99 €","Deportivo que combina diferentes materiales como polipiel y antelina en tonos blanco, plata y azul. Cierre con cordones. "
"zapatos","Deportivo"," Lena Burdeos-Marino","N/A","https://latiendadevalentina.com/low-cost/deportivo-lena-burdeos-marino/#/8-talla-36","8-talla-36","18,99 €","Deportivo que combina diferentes materiales como polipiel y antelina en tonos blanco, burdeos y marino. Cierre con cordones. "
"zapatos","Deportivo"," Lena Plata-Serpiente","N/A","https://latiendadevalentina.com/low-cost/deportivo-lena-plata-serpiente/#/8-talla-36","8-talla-36","18,99 €","Deportivo que combina diferentes materiales como polipiel y antelina en tonos blanco, plata y estampado de serpiente. Cierre con cordones. "
